,,,,Marketwise Price & Arrival Report (11-09-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 11 Sep, 2026","Price on 10 Sep, 2026","Price on 09 Sep, 2026","Arrival on 11 Sep, 2026","Arrival on 10 Sep, 2026","Arrival on 09 Sep, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2900.00,3430.83,3436.26,3255.34,86.60,70.60,96.90
Cereals,Jowar(Sorghum),4023.00,5919.44,6226.30,6375.42,96.70,79.10,73.90
Cereals,Maize,2410.00,2897.16,2707.93,2552.44,104.30,44.00,85.70
Cereals,Paddy(Common),2441.00,2410.00,2786.32,3240.26,0.10,34.80,158.60
Cereals,Ragi(Finger Millet),5205.00,5400.00,5450.00,5350.00,0.30,0.40,0.40
Cereals,Wheat,2585.00,3569.24,3805.29,3423.30,907.40,1086.90,1475.90
Oil Seeds,Groundnut,7517.00,-,7500.00,7900.00,-,0.30,0.30
Oil Seeds,Mustard,6200.00,8966.25,9000.00,7000.00,36.30,24.40,0.10
Oil Seeds, "Sesamum(Sesame,Gingelly,Til)",10346.00,15618.33,16000.00,11217.69,16.80,11.40,19.00
Oil Seeds,Soyabean,5708.00,6026.67,-,5920.92,202.80,-,267.10
Pulses,Bengal Gram(Gram)(Whole),5875.00,6846.91,7334.23,6525.94,194.80,187.40,344.20
Pulses,Black Gram(Urd Beans)(Whole),8200.00,8490.68,8695.47,8493.75,237.30,116.20,204.60
Pulses,Green Gram(Moong)(Whole),8780.00,10002.41,9648.81,9823.41,266.20,94.10,406.80
Pulses,Lentil(Masur)(Whole),7000.00,7159.82,7117.70,7154.71,33.60,22.60,34.00
Pulses,Red gram/Arhar/Tur(whole),8450.00,8579.81,8755.03,8630.37,407.10,52.00,1172.20
Oil Seeds,Sunflower,7280.00,7560.50,7488.20,7395.40,58.20,49.10,61.30
Oil Seeds,Safflower,5940.00,6218.80,6175.00,6102.60,21.50,18.40,24.00
Oil Seeds,Castor Seed,6900.00,7355.90,7298.40,7186.70,42.80,39.60,45.20
Pulses,White Gram,6100.00,6640.30,6588.40,6492.20,87.10,76.50,91.80
Pulses,Cowpea(Whole),7200.00,7688.40,7550.90,7421.60,46.30,39.80,51.20
Pulses,Field Pea,5900.00,6280.50,6192.30,6124.70,73.20,65.90,81.50
Cereals,Barley,2320.00,2685.40,2612.80,2558.90,112.40,98.70,124.30
Cereals,Broken Rice,2200.00,2480.60,2448.30,2395.70,188.50,174.60,196.80
Commercial,Cotton,7121.00,7488.90,7395.20,7268.10,420.60,398.20,452.90
Commercial,Sugarcane,355.00,382.50,378.80,374.20,1860.00,1795.00,1928.00
Vegetables,Onion,1600.00,2148.40,2285.60,2398.30,1450.30,1382.70,1524.90
Vegetables,Tomato,1500.00,1985.70,1862.50,1728.90,968.20,1042.60,1125.30
Vegetables,Potato,1800.00,2365.80,2298.40,2210.30,805.60,778.40,842.70
Vegetables,Brinjal,1400.00,1832.60,1768.20,1695.40,256.80,241.50,278.30
Vegetables,Chilli Green,2600.00,3428.90,3362.50,3298.10,188.40,174.20,196.50
Fruits,Pomegranate,5200.00,6825.30,6718.90,6595.40,146.70,138.50,152.80
Fruits,Banana,1700.00,2158.60,2095.20,2038.70,1245.80,1192.40,1288.60
Fruits,Grapes,3200.00,4128.50,4055.30,3988.40,328.90,305.70,344.60
Spices,Turmeric,7800.00,8925.70,8848.20,8760.50,94.30,88.70,101.20
Spices,Coriander,6200.00,7158.90,7095.40,6988.20,58.60,52.90,61.80

